,Year,Season,Player,Pos,Age,Tm,G,GS,TOV,PF,PTS
117,1993,regular,Bison Dele,Center,24,DEN,80,1,1.3,2.8,8.0
118,1993,regular,Dell Demps,Point Guard,23,GSW,2,0,0.5,0.5,2.0
119,1993,regular,Vlade Divac*,Center,25,LAL,79,73,2.4,3.6,14.2
120,1993,regular,Sherman Douglas,Point Guard,27,BOS,78,78,3.0,2.2,13.3
121,1993,regular,Greg Dreiling,Center,31,DAL,54,19,0.8,2.9,2.4
122,1993,regular,Clyde Drexler*,Shooting Guard,31,POR,68,68,2.5,3.0,19.2
123,1993,regular,Kevin Duckworth,Center,29,WSB,69,52,1.5,3.2,6.6
124,1993,regular,Chris Dudley,Center,28,POR,6,3,0.3,3.0,2.3
125,1993,regular,Joe Dumars*,Shooting Guard,30,DET,69,69,2.3,1.7,20.4
126,1993,regular,Acie Earl,Center,23,BOS,74,8,1.0,2.4,5.5
127,1993,regular,Bill Edwards,Power Forward,22,PHI,3,0,1.3,2.0,2.0
128,1993,regular,Blue Edwards,Small Forward,28,MIL,82,64,1.8,2.9,11.6
129,1993,regular,Doug Edwards,Power Forward,23,ATL,16,0,0.4,0.6,2.7
130,1993,regular,James Edwards,Center,38,LAL,45,2,0.7,2.0,4.7
131,1993,regular,Kevin Edwards,Shooting Guard,28,NJN,82,82,1.6,1.8,14.0
132,1993,regular,Craig Ehlo,Shooting Guard,32,ATL,82,0,1.6,2.0,10.0
133,1993,regular,Mario Elie,Small Forward,30,HOU,67,8,1.6,1.9,9.3
134,1993,regular,Sean Elliott,Small Forward,25,DET,73,73,1.8,2.4,12.1
135,1993,regular,Dale Ellis,Small Forward,33,SAS,77,75,1.0,1.8,15.2
136,1993,regular,Harold Ellis,Small Forward,23,LAC,49,16,0.9,2.0,8.7
137,1993,regular,LaPhonso Ellis,Power Forward,23,DEN,79,79,2.2,3.8,15.4
138,1993,regular,LeRon Ellis,Center,24,CHH,50,1,0.4,1.7,4.4
139,1993,regular,Pervis Ellison,Center,26,WSB,47,24,1.6,3.0,7.3
140,1993,regular,Jo Jo English,Shooting Guard,23,CHI,36,0,1.0,1.7,3.6
141,1993,regular,Patrick Ewing*,Center,31,NYK,79,79,3.3,3.5,24.5
142,1993,regular,Jim Farmer,Shooting Guard,29,DEN,4,0,1.3,0.8,1.0
143,1993,regular,Duane Ferrell,Small Forward,28,ATL,72,13,0.9,1.2,7.1
144,1993,regular,Danny Ferry,Power Forward,27,CLE,70,1,0.6,1.6,5.0
145,1993,regular,Vern Fleming,Point Guard,31,IND,55,5,1.6,1.8,6.5
146,1993,regular,Sleepy Floyd,Point Guard,33,SAS,53,2,1.2,1.3,3.8
147,1993,regular,Alphonso Ford,Point Guard,22,SEA,6,0,0.2,0.3,2.7
148,1993,regular,Greg Foster,Power Forward,25,MIL,3,0,0.3,1.0,3.3
149,1993,regular,Rick Fox,Small Forward,24,BOS,82,53,1.9,3.0,10.8
150,1993,regular,Tellis Frank,Power Forward,28,MIN,67,11,0.7,2.4,2.8
151,1993,regular,Corey Gaines,Shooting Guard,28,NYK,18,0,0.3,0.7,1.8
152,1993,regular,Chad Gallagher,Center,24,UTA,2,0,0.0,1.0,3.0
153,1993,regular,Kevin Gamble,Small Forward,28,BOS,75,28,1.0,1.8,11.5
154,1993,regular,Chris Gatling,Center,26,GSW,82,23,1.0,2.7,8.2
155,1993,regular,Kenny Gattison,Power Forward,29,CHH,77,18,1.0,3.0,7.7
156,1993,regular,Andrew Gaze,Shooting Guard,28,WSB,7,0,0.4,1.3,3.1
157,1993,regular,Matt Geiger,Center,24,MIA,72,0,0.8,2.8,7.2
158,1993,regular,Kendall Gill,Shooting Guard,25,SEA,79,77,1.8,2.5,14.1
159,1993,regular,Armen Gilliam,Power Forward,29,NJN,82,5,1.3,1.6,11.8
160,1993,regular,Mike Gminski,Center,34,TOT,29,7,0.4,0.8,3.0
163,1993,regular,Ricky Grace,Point Guard,26,ATL,3,0,0.0,1.0,1.3
164,1993,regular,Greg Graham,Shooting Guard,23,PHI,70,6,0.9,0.8,4.8
165,1993,regular,Paul Graham,Shooting Guard,26,ATL,21,0,0.2,0.5,2.8
166,1993,regular,Gary Grant,Point Guard,28,LAC,78,8,1.7,1.8,7.5
167,1993,regular,Harvey Grant,Small Forward,28,POR,77,73,0.7,2.3,10.4
168,1993,regular,Horace Grant,Power Forward,28,CHI,70,69,1.6,2.3,15.1
169,1993,regular,Josh Grant,Power Forward,26,GSW,53,0,0.6,1.2,3.0
170,1993,regular,Jeff Grayer,Shooting Guard,28,GSW,67,4,0.9,1.5,6.8
171,1993,regular,A.C. Green,Power Forward,30,PHO,82,55,1.2,1.7,14.7
172,1993,regular,Litterial Green,Point Guard,23,ORL,29,0,0.4,0.6,2.5
173,1993,regular,Sean Green,Shooting Guard,23,TOT,36,0,0.8,0.6,4.1
176,1993,regular,Tom Gugliotta,Power Forward,24,WSB,78,78,3.2,2.2,17.1
177,1993,regular,Andrés Guibert,Center,25,MIN,5,0,1.2,1.2,3.0
178,1993,regular,Jay Guidinger,Center,24,CLE,32,0,0.5,0.7,1.5
179,1993,regular,Jack Haley,Power Forward,30,SAS,28,0,0.4,0.6,2.1
180,1993,regular,Geert Hammink,Center,24,ORL,1,0,0.0,1.0,2.0
181,1993,regular,Tom Hammonds,Power Forward,26,DEN,74,2,0.6,1.2,4.1
182,1993,regular,Anfernee Hardaway,Point Guard,22,ORL,82,82,3.6,2.5,16.0
183,1993,regular,Derek Harper,Point Guard,32,TOT,82,55,1.6,2.0,9.6
186,1993,regular,Ron Harper,Shooting Guard,30,LAC,75,75,3.2,2.2,20.1
187,1993,regular,Lucious Harris,Shooting Guard,23,DAL,77,0,1.0,1.5,5.4
188,1993,regular,Tony Harris,Shooting Guard,26,BOS,5,0,1.2,1.6,8.8
189,1993,regular,Antonio Harvey,Power Forward,23,LAL,27,6,0.6,1.4,2.6
190,1993,regular,Scott Haskin,Center,23,IND,27,2,0.5,1.2,2.0
191,1993,regular,Hersey Hawkins,Shooting Guard,27,CHH,82,82,1.9,2.0,14.4
192,1993,regular,Skeeter Henry,Shooting Guard,26,PHO,4,0,0.3,0.3,1.0
193,1993,regular,Steve Henson,Point Guard,25,CHH,3,0,0.3,1.0,1.0
194,1993,regular,Carl Herrera,Power Forward,27,HOU,75,0,0.9,2.1,4.7
195,1993,regular,Rod Higgins,Small Forward,34,CLE,36,11,0.6,1.5,5.4
196,1993,regular,Tyrone Hill,Power Forward,25,CLE,57,20,1.4,3.4,10.6
197,1993,regular,Donald Hodge,Center,24,DAL,50,0,0.6,1.3,2.7
